sampling_rate,gender,mean_pitch,max_pitch,min_pitch,jitter,shimmer,energy,zcr_mean,spectral_centroid_mean,tempo,hnr,num_words,num_characters,num_pauses,silence_duration,path,mean_spectrogram,std_spectrogram,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_contrast_mean,spectral_contrast_std,spectral_flatness_mean,spectral_flatness_std,spectral_rolloff_mean,spectral_rolloff_std,mfcc_mean,mfcc_std,delta_mfcc_mean_1,delta_mfcc_mean_2,delta_mfcc_std_1,delta_mfcc_std_2,chroma_mean,chroma_std,freq_mean,freq_std,freq_skew,freq_kurtosis
22050,1,1821.6906,3999.717,145.43066,0.01379450548252,0.0827253733083098,0.0022538047574122,0.2100933418072089,3112.257251154368,151.99908088,-123.9997262692494,69,281,39,23.84689342403628,DSL_Winter_Project_2025/audios_development/1.wav,-53.94303,17.413332,2297.0067138600148,666.9043614696666,22.858955633139725,11.53098296968126,0.06392645,0.08487514,5447.4232991536455,2586.0325054796895,-4.8502827,40.837254,0.00023371114,-0.00012469363,2.7695086,1.4274154,0.39094645,0.32990772,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,1297.8187,3998.859,145.37268,0.0253485121269184,0.0962424747690059,0.0078186389297897,0.0788494053171641,1688.0163887765325,129.19921875,-86.92847782058215,69,281,21,19.38866213151928,DSL_Winter_Project_2025/audios_development/2.wav,-49.78606,16.925035,1902.1852937837775,651.4171839169061,21.301180607461152,10.232709672714162,0.01771217,0.040264513,3358.440487989739,2004.5839055946587,-1.8352138,34.21637,-0.0004374025,-0.00015004199,2.2838278,1.4163406,0.33591923,0.32529277,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,1332.8524,3998.8025,145.42395,0.0190674156460441,0.1194560931686425,0.0029742818449428,0.1053652385572805,2576.9017059374173,117.45383523,-98.45066996496276,69,281,1,21.640997732426303,DSL_Winter_Project_2025/audios_development/3.wav,-49.544548,14.143586,2547.9916692240377,446.7637927501251,22.685850890166822,10.984173827794164,0.022936549,0.039461266,4985.881771112152,2298.5632089077963,-1.6823566,34.023693,-2.4769643e-05,0.000315383,2.2756164,1.4167057,0.36540145,0.34212464,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,1430.3499,3998.451,147.98083,0.0170036758305884,0.1023892640286828,0.0223705533960699,0.1737011416408668,3269.751413282665,117.45383523,-56.45976166487887,69,281,9,19.644126984126984,DSL_Winter_Project_2025/audios_development/4.wav,-51.439106,18.81061,2411.285176099904,631.025671832121,26.68493216368833,12.378620142708685,0.019586744,0.030440234,5691.387807178792,2821.5841450066823,-2.9506533,31.87448,0.0038544554,0.0014707536,3.0766075,1.6926168,0.33345985,0.33325392,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,0,1688.7234,3998.6113,145.44772,0.0280274095640635,0.1248313100805887,0.0053686253221205,0.1072794843560145,1930.897374687883,112.34714674,-80.34920393012352,69,281,11,18.041904761904764,DSL_Winter_Project_2025/audios_development/5.wav,-45.53338,16.47328,1960.8177777044514,641.8173772673816,21.243941250350638,11.203366842054738,0.025530059,0.04874359,3555.254808057412,2358.80299255849,-1.2252618,32.83509,-0.0024181241,0.0008591931,2.4760869,1.5569106,0.42316413,0.31028318,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,1258.5216,3998.8406,145.61612,0.0256415261226269,0.093994300572409,0.0140009085606509,0.1520361879615551,2350.7475765614263,123.046875,-93.4532295026751,69,281,21,19.59764172335601,DSL_Winter_Project_2025/audios_development/6.wav,-53.12553,16.35842,2020.8461515618126,621.2178815571268,22.156113166823147,12.355077557172015,0.020772997,0.03476541,4050.234616807396,2767.2208667625086,-2.6283107,31.808695,-0.00034753044,-0.00022712807,2.3080351,1.339106,0.38369206,0.31639647,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,0,1789.0259,3999.5728,145.42523,0.022058885075647,0.1383218670584982,0.0014021478408719,0.1777127475511073,2771.7932365410047,92.28515625,-132.86498787401757,69,281,29,21.84997732426304,DSL_Winter_Project_2025/audios_development/7.wav,-44.725693,13.628183,2373.7573962965675,483.97320301648574,20.1406804522786,11.744334306474057,0.0736093,0.080260776,5186.649812506655,2241.0170194702223,-3.076483,32.784363,-7.2114344e-05,0.00022422073,2.323707,1.4219782,0.47047117,0.2885749,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,1042.9526,3989.9595,147.1871,0.0138589184851399,0.1045785712702697,0.0009078290233821,0.1118577860169491,2701.802810870444,215.33203125,5.586936546106252,4,16,1,1.367936507936508,DSL_Winter_Project_2025/audios_development/8.wav,-35.10047,11.732334,2764.14721371924,508.8223137529408,22.921914344310622,10.13781868574128,0.022431845,0.034520376,5671.261751853814,2128.2945434476865,-1.1727659,32.63821,-0.024013879,0.008054811,1.7804785,1.1950991,0.3389261,0.3322119,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,1,779.33765,2927.2144,157.62047,0.0139207831299991,0.0808476819111308,0.0003237747346111,0.0390965661337209,1448.0934794323591,143.5546875,-43.823949872833865,0,0,1,1.9896598639455785,DSL_Winter_Project_2025/audios_development/9.wav,-43.892143,16.13102,2090.803425010694,358.2031812549259,23.4800501993556,10.403650714258815,0.0017783344,0.0014758568,2880.8170762172963,1157.9322055705593,-2.0480106,45.067642,-0.0029898032,-0.00534524,1.9842905,1.406585,0.3288958,0.34171203,5512.5,3185.749892940608,0.0,-1.2000022843567248
22050,0,732.35297,3988.0715,147.95331,0.0177351607112758,0.1143797940086329,0.0074251771082471,0.0731658935546875,1722.6242470362458,86.1328125,-47.04454034436717,5,22,1,1.4379138321995464,DSL_Winter_Project_2025/audios_development/10.wav,-42.892807,17.371857,2093.4967681996804,598.8476708574754,21.492877723074717,11.449433798144447,0.010659998,0.025175786,3416.5454864501953,2379.489778728184,-1.1924789,32.513958,0.011957529,-0.007125743,2.5261729,1.415401,0.4438435,0.310988,5512.5,3185.749892940608,0.0,-1.2000022843567248
